id,term,ipa,category,type,definition_en,meaning_vi,source_sentence,my_sentence,priority,collocation_pattern,ielts_topics,skill_use,difficulty,card_types,origin,review_status,anki_export,tags
health-001,outbreak,/ˈaʊt.breɪk/,"Outbreak, Disease & Public Health",word,"the sudden start of something unpleasant, especially disease or violence",đợt bùng phát,The health ministry declared an outbreak after dozens of new cases appeared within a single week.,,P1,outbreak,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,C1,basic;cloze;production,teacher,approved,yes,dengue;public-health;health
health-002,dengue fever,/ˈdeŋ.ɡeɪ ˌfiː.vər/,"Outbreak, Disease & Public Health",noun_phrase,a tropical disease spread by mosquitoes that causes fever and severe pain in the joints,sốt xuất huyết,Travelers to Southeast Asia are often warned about dengue fever during the rainy season.,,P1,dengue fever,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,C1,basic;cloze;production,teacher,approved,yes,dengue;public-health;health
health-003,mosquito-borne,/məˈskiː.təʊ ˌbɔːn/,"Outbreak, Disease & Public Health",word,carried and transmitted by mosquitoes,lây truyền qua muỗi,"Mosquito-borne illnesses tend to peak in countries with hot, humid climates.",,P1,mosquito-borne,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,C1,basic;cloze;production,teacher,approved,yes,dengue;public-health;health
health-004,mosquito-borne virus,/məˈskiː.təʊ bɔːn ˈvaɪə.rəs/,"Outbreak, Disease & Public Health",noun_phrase,a virus passed from one host to another through the bite of an infected mosquito,virus lây truyền qua muỗi,Dengue is one of the most widespread mosquito-borne viruses in tropical regions.,,P1,mosquito-borne virus,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,C1,basic;cloze;production,teacher,approved,yes,dengue;public-health;health
health-005,mosquito-borne viral infection,/məˈskiː.təʊ bɔːn ˈvaɪə.rəl ɪnˈfek.ʃən/,"Outbreak, Disease & Public Health",noun_phrase,any disease caused by a virus that is transmitted to humans through mosquito bites,bệnh nhiễm virus do muỗi truyền,Health officials are urging the public to take precautions against mosquito-borne viral infections.,,P1,mosquito-borne viral infection,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,C1,basic;cloze;production,teacher,approved,yes,dengue;public-health;health
health-006,viral infection,/ˈvaɪə.rəl ɪnˈfek.ʃən/,"Outbreak, Disease & Public Health",noun_phrase,an illness caused by a virus entering the body,nhiễm virus,A simple blood test can confirm whether the patient has a viral infection.,,P1,viral infection,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,C1,basic;cloze;production,teacher,approved,yes,dengue;public-health;health
health-007,the virus,/ðə ˈvaɪə.rəs/,"Outbreak, Disease & Public Health",noun_phrase,"an extremely small living thing that causes disease in people, animals and plants",virus,Scientists are racing to develop a vaccine against the virus before the next rainy season.,,P1,the virus,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,C1,basic;cloze;production,teacher,approved,yes,dengue;public-health;health
health-008,die from / die of,/daɪ frɒm/ /daɪ ɒv/,"Outbreak, Disease & Public Health",prepositional_pattern,"to lose one's life as a result of a particular disease, injury or cause","chết vì, chết do",Hundreds of children still die from preventable diseases every year in low-income regions.,,P1,die from / die of,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,C1,basic;cloze;production,teacher,approved,yes,dengue;public-health;health
health-009,fatality,/fəˈtæl.ə.ti/,"Outbreak, Disease & Public Health",word,"a death caused by an accident, war, violence or disease",ca tử vong,Authorities reported the first fatality of the epidemic late on Sunday evening.,,P1,fatality,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,C1,basic;cloze;production,teacher,approved,yes,dengue;public-health;health
health-010,fatalities,/fəˈtæl.ə.tiz/,"Outbreak, Disease & Public Health",word,deaths resulting from a particular cause or event,số người tử vong,Officials fear that fatalities will continue to rise until the rainy season ends.,,P1,fatalities,health-medicine;environment;urban-rural,reading;writing-task2;speaking-part3,C1,basic;cloze;production,teacher,approved,yes,dengue;public-health;health
