id,source_type,source_id,term,category,type,definition_en,meaning_vi,source_sentence,my_sentence,collocation_pattern,ielts_topic,skill_use,difficulty,card_types,status,tags
pop-001,article,vietnam-two-child-policy,demographic shift,Demographic & Population,noun_phrase,a significant change in the structure or characteristics of a population,sự thay đổi nhân khẩu học,The country is undergoing a major demographic shift as its population ages rapidly.,,face a demographic shift,population,writing-task2;speaking-part3,B2,basic;cloze;reverse,new,demographics population aging
pop-002,article,vietnam-two-child-policy,fertility rate,Demographic & Population,noun_phrase,the average number of children born to a woman over her lifetime,tỷ suất sinh,Japan's fertility rate has fallen well below the replacement level.,,boost a declining fertility rate,population,writing-task2;speaking-part3,B2,basic;cloze;reverse,new,demographics birth population
pop-003,article,vietnam-two-child-policy,birthrate,Demographic & Population,noun,the number of live births per thousand of population per year,tỷ lệ sinh,The nation's birthrate fell to a record low last year.,,birthrate fell to a record low,population,writing-task2,B2,basic;cloze,new,demographics birth population
pop-004,article,vietnam-two-child-policy,replacement level,Demographic & Population,noun_phrase,the fertility rate at which a population exactly replaces itself from one generation to the next,mức sinh thay thế,A fertility rate of 2.1 is generally considered the replacement level.,,drop below the replacement level,population,writing-task2,B2,basic;cloze,new,demographics birth population
pop-005,article,vietnam-two-child-policy,population aging,Demographic & Population,noun_phrase,a process by which the proportion of older persons in a population increases,già hoá dân số,Many developed countries are facing the challenges of population aging.,,face the challenges of population aging,population,writing-task2;speaking-part3,B2,basic;cloze;reverse,new,demographics aging elderly
pop-006,article,vietnam-two-child-policy,aging population,Demographic & Population,noun_phrase,a population in which the proportion of elderly people is rising,dân số đang già hoá,An aging population puts pressure on healthcare systems.,,aging population puts pressure on,population,writing-task2;speaking-part3,B2,basic;cloze;reverse,new,demographics aging elderly
pop-007,article,vietnam-two-child-policy,aged population,Demographic & Population,noun_phrase,a population in which a large share of citizens are elderly,dân số già,Japan is widely regarded as an aged population.,,regarded as an aged population,population,writing-task2,C1,basic;cloze,new,demographics aging elderly
pop-008,article,vietnam-two-child-policy,young workers,Demographic & Population,noun_phrase,people of working age typically in early or mid career,lực lượng lao động trẻ,Vietnam currently has a bumper crop of young workers.,,bumper crop of young workers,population,writing-task2,B2,basic;cloze,new,demographics workforce economy
pop-009,article,vietnam-two-child-policy,aging citizens,Demographic & Population,noun_phrase,older members of a population,công dân cao tuổi,Larger generations of aging citizens require more public spending.,,larger generations of aging citizens,population,writing-task2,B2,basic;cloze,new,demographics aging elderly
pop-010,article,vietnam-two-child-policy,family planning,Demographic & Population,noun_phrase,the practice of controlling the number and spacing of one's children,kế hoạch hoá gia đình,Economic pressures heavily influence family planning decisions.,,influence family planning decisions,population,writing-task2;speaking-part3,B2,basic;cloze;reverse,new,demographics policy family
pop-011,article,vietnam-two-child-policy,two-child policy,Demographic & Population,noun_phrase,a government regulation limiting families to a maximum of two children,chính sách hai con,Vietnam has abolished its two-child policy after nearly four decades.,,abolish the two-child policy,population,writing-task2,B2,basic;cloze,new,demographics policy government
pop-012,article,vietnam-two-child-policy,fertility policy,Demographic & Population,noun_phrase,government rules designed to influence the number of children people have,chính sách dân số / sinh sản,The fertility policy was introduced in 1988.,,introduce a fertility policy,population,writing-task2,B2,basic;cloze,new,demographics policy government
pop-013,article,vietnam-two-child-policy,baby bonus,Demographic & Population,noun_phrase,a payment given by the government to encourage couples to have children,tiền thưởng sinh con,Officials introduced a baby bonus of around $120.,,introduce a baby bonus,population,writing-task2,B2,basic;cloze,new,demographics policy incentive
